"plot_names","shannon","simpson","specn","X","Y"
"130",2.9866849719338,0.913570154577883,46,685065.625,5528606
"17",1.76740205248078,0.681475503833167,33,679285.468,5528488
"219-1",1.87758320010519,0.726048247534455,29,683722.236,5529706
"219-2",1.98258662568383,0.759591836734694,29,683697.784,5529767
"23-1",2.1478846331469,0.70529520844303,37,679236.705,5528277
"23-2",1.62001374256405,0.679656594562747,26,679137.07,5528300
"23-3",0.819242089891173,0.27625489498042,21,679137.006,5528355
"302",2.61710499549038,0.873741173044723,37,678268.642,5528201
"303-1",1.88506146771083,0.784632678701316,17,678397.557,5528230
"303-2",1.92485552602683,0.80744488450356,15,678398.892,5528198
"359-1",1.31617510210329,0.47256244133605,27,678314.869,5530356
"359-2",1.07139603015293,0.36834624056465,22,678324.908,5530397
"359-3",1.58868478224295,0.650749923477196,25,678335.068,5530439
"362",2.0895782953469,0.758082759920822,33,679249.587,5528555
"456-1",1.8137571611982,0.655821954171887,33,679264.851,5528692
"456-2",1.14467006433102,0.357649382716049,33,679296.814,5528744
"48-1",2.30549095572842,0.846449471569569,27,684106.011,5529500
"48-2",2.26808408582242,0.841470870818412,28,684193.239,5529537
"557-1",2.29927757283728,0.826673193307227,28,684143.429,5530246
"557-2",2.1379238378586,0.823216001397502,24,684097.868,5530174
"68-1",2.68706170075252,0.902851239669421,30,684572.89,5529799
"68-2",2.73591062695931,0.904842355740631,31,684563.15,5529741
"705-1",1.3686846500522,0.609182098765432,20,677894.407,5530498
"705-2",1.24009855236644,0.612535612535613,16,677840.832,5530512
"705-3",1.55959478228862,0.623862108488175,26,677758.831,5530551
"726-1",2.11171503248869,0.753713172632092,32,684889.169,5529724
"726-2",1.8301826317961,0.716591035938751,20,684930.078,5529736
"734-1",1.98562177240254,0.664026343894624,35,684810.545,5529573
"88-1",2.4502419638015,0.82437818877551,38,684806.841,5529213
"88-2",2.19147833262245,0.818587105624143,30,684847.115,5529221
"Deuter",2.9878793219711,0.922192816635161,36,678752.65,5528749
"Gubitzmoos_1",3.48668443656492,0.952898806581456,51,678582.774,5528336
"Gubitzmoos_2",3.05322535349983,0.908954306399836,46,678637.982,5528324
"Nördlicher_Deuterweg_1",2.90180357358485,0.905166981726528,41,679361.17,5528649
"Nördlicher_Deuterweg_2",2.68779021106404,0.891189782379565,34,679403.759,5528713
"Nördlicher_Deuterweg_3",2.81177788881242,0.893004115226337,34,679414.646,5528782
"Nördlicher_Deuterweg_4",2.81478362521294,0.895061728395062,41,679165.495,5528766
"Nördlicher_Deuterweg_5",2.64844592533345,0.863839285714286,32,679087.178,5528826
"Nördlicher_Deuterweg_6",2.61470280213979,0.857361111111111,30,679027.993,5528797
"Obernschreez_68_Nord",2.92340941590971,0.908442860325239,37,684593.014,5529895
"Obernschreez_68_Süd",2.4528737527357,0.858842975206612,27,684538.54,5529776
"Obernschreez_726_Ost",2.72612643904425,0.907331032741352,27,684860.803,5529705
"Obernschreez_734",2.96553630892416,0.915479582146249,37,684787.36,5529555
"Schobertsberg_1",2.31827193531283,0.808299039780521,30,678262.176,5530368
"Schobertsberg_2",2.6500873077812,0.871980473024156,34,678288.759,5530453
"Schobertsberg_3",2.34662707880454,0.820889698231009,31,678333.503,5530285
"Schobertsberg_4",1.96963422197974,0.732840874115112,26,677906.601,5530580
"Schobertsberg_5",2.05133716865582,0.796560064498791,24,677842.595,5530568
"Südlich_Bauhof_1",3.0956724905404,0.909640831758034,43,679410.98,5528502
"Südlich_Bauhof_2",2.52300386944502,0.842155612244898,34,679348.158,5528419
"Südlich_Bauhof_3",3.26016525527045,0.933007249541445,45,679383.888,5528360
"Südlich_Bauhof_4",3.51013774301828,0.951646090534979,52,679250.939,5528285
"Südlich_Deuterweg_1",2.73657199056243,0.866464232751924,40,679019.737,5528698
"Südlich_Deuterweg_2",2.82010432180753,0.882698469206123,39,678919.644,5528554
"Südlich_Deuterweg_3",2.89200248057238,0.882201646090535,41,678959.724,5528528
"Südlich_Deuterweg_4",2.66083211539011,0.827129294447101,41,679035.789,5528494
"Südlich_Deuterweg_5",2.07050553292378,0.673421259498646,32,679121.584,5528578
"Südlich_Deuterweg_6",2.59894073677077,0.795160680529301,40,679278.691,5528593
"Südlich_Deuterweg_7",2.66806870853799,0.812239601120142,41,679184.39,5528620
