"plot_names","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","dat"
"Deuter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Gubitzmoos_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Gubitzmoos_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_68_Nord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_68_Süd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_726_Ost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_726_West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Bauhof_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Bauhof_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Bauhof_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Bauhof_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Deuterweg_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"68-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"68-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"726-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"726-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"734-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"557-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"557-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"219-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"219-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"48-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"48-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"130",0.0495,0.0906,0.1266,0.2162,0.3547,0.3995,0.4374,0.4776,0.3109,0.1581,2022-01-06
"88-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"88-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"303-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"303-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"23-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"23-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"23-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"456-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"456-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"359-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"359-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"359-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"705-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"705-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"705-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Rb_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Fe_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Fe_4_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Fe_1_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Fe_2_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"RB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"RB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"RB1_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"RB2_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE1_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE2_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE3_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"FE4_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Deuter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Gubitzmoos_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Gubitzmoos_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Nördlicher_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Nördlicher_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Nördlicher_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Nördlicher_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Nördlicher_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Nördlicher_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Obernschreez_68_Nord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Obernschreez_68_Süd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Obernschreez_726_Ost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Obernschreez_726_West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Obernschreez_734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Schobertsberg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Schobertsberg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Schobertsberg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Schobertsberg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Schobertsberg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Bauhof_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Bauhof_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Bauhof_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Bauhof_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Südlich_Deuterweg_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"68-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"68-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"726-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"726-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"734-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"557-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"557-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"219-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"219-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"48-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"48-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"88-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"88-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"303-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"303-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"23-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"23-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"23-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"456-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"456-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"359-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"359-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"359-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"705-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"705-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"705-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Rb_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Fe_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Fe_4_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Fe_1_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Fe_2_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"RB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"RB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"RB1_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"RB2_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE1_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE2_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE3_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"FE4_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-14
"Deuter",0.0557,0.0807,0.1035,0.1206,0.1792,0.1978,0.3123,0.2394,0.1626,0.0841,2022-02-12
"Gubitzmoos_1",0.0568,0.0926,0.108,0.174,0.26,0.2934,0.3141,0.3449,0.2546,0.1403,2022-02-12
"Gubitzmoos_2",0.0512,0.0826,0.1033,0.1657,0.2548,0.2845,0.2923,0.331,0.2557,0.1369,2022-02-12
"Nördlicher_Deuterweg_1",0.0365,0.0657,0.074,0.1416,0.2407,0.279,0.2827,0.3304,0.1761,0.0876,2022-02-12
"Nördlicher_Deuterweg_2",0.0388,0.0743,0.0746,0.1475,0.2611,0.2973,0.3253,0.342,0.1682,0.0808,2022-02-12
"Nördlicher_Deuterweg_3",0.0419,0.0771,0.0856,0.1446,0.2342,0.2635,0.2881,0.3036,0.1975,0.104,2022-02-12
"Nördlicher_Deuterweg_4",0.0495,0.077,0.0935,0.1513,0.2232,0.2516,0.2778,0.2953,0.2041,0.114,2022-02-12
"Nördlicher_Deuterweg_5",0.0474,0.0745,0.0867,0.1376,0.2059,0.231,0.2445,0.2598,0.183,0.0999,2022-02-12
"Nördlicher_Deuterweg_6",0.0454,0.0715,0.0832,0.1375,0.202,0.2293,0.239,0.2618,0.1727,0.0928,2022-02-12
"Obernschreez_68_Nord",0.0479,0.0766,0.0899,0.1452,0.2157,0.2386,0.2792,0.2835,0.2044,0.1184,2022-02-12
"Obernschreez_68_Süd",0.0346,0.0633,0.0624,0.1256,0.2069,0.2274,0.2879,0.2788,0.1495,0.08,2022-02-12
"Obernschreez_726_Ost",0.0413,0.076,0.0761,0.1345,0.2332,0.2625,0.3034,0.2996,0.1988,0.1012,2022-02-12
"Obernschreez_726_West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"Obernschreez_734",0.0409,0.0712,0.079,0.1456,0.2461,0.2747,0.2981,0.3169,0.1616,0.0819,2022-02-12
"Schobertsberg_1",0.0347,0.0636,0.0582,0.1233,0.2535,0.2816,0.3058,0.33,0.1484,0.0716,2022-02-12
"Schobertsberg_2",0.0417,0.0711,0.0772,0.1397,0.2409,0.272,0.2866,0.3241,0.1596,0.0771,2022-02-12
"Schobertsberg_3",0.0382,0.0733,0.0699,0.1405,0.261,0.2956,0.3306,0.3414,0.1695,0.0795,2022-02-12
"Schobertsberg_4",0.036,0.0657,0.0555,0.1305,0.2745,0.3229,0.3404,0.3662,0.1609,0.0781,2022-02-12
"Schobertsberg_5",0.0338,0.0647,0.0585,0.1298,0.2705,0.3095,0.3277,0.3552,0.1615,0.0786,2022-02-12
"Südlich_Bauhof_1",0.0367,0.0701,0.0694,0.1296,0.2331,0.2671,0.2811,0.3097,0.1657,0.0837,2022-02-12
"Südlich_Bauhof_2",0.0479,0.0723,0.0953,0.1475,0.2197,0.2501,0.2589,0.2883,0.1689,0.0826,2022-02-12
"Südlich_Bauhof_3",0.0591,0.0981,0.1169,0.1895,0.2732,0.3084,0.3133,0.3619,0.2822,0.1578,2022-02-12
"Südlich_Bauhof_4",0.0481,0.0856,0.0936,0.1596,0.2377,0.2585,0.2941,0.2964,0.2039,0.1102,2022-02-12
"Südlich_Deuterweg_1",0.06,0.0874,0.1162,0.1689,0.235,0.2715,0.2916,0.321,0.2579,0.1505,2022-02-12
"Südlich_Deuterweg_2",0.0502,0.0758,0.0967,0.1507,0.207,0.2335,0.2423,0.2727,0.2293,0.1291,2022-02-12
"Südlich_Deuterweg_3",0.0551,0.0814,0.1024,0.1539,0.2095,0.2313,0.2568,0.2704,0.2302,0.1321,2022-02-12
"Südlich_Deuterweg_4",0.0579,0.0926,0.115,0.1677,0.2412,0.2644,0.2902,0.3137,0.2433,0.142,2022-02-12
"Südlich_Deuterweg_5",0.0437,0.0686,0.0886,0.1415,0.2019,0.2272,0.2479,0.2675,0.1742,0.09,2022-02-12
"Südlich_Deuterweg_6",0.0468,0.0763,0.0923,0.1522,0.2338,0.2661,0.2839,0.3064,0.1867,0.0946,2022-02-12
"Südlich_Deuterweg_7",0.0482,0.0754,0.0994,0.144,0.209,0.2331,0.2489,0.2738,0.2138,0.117,2022-02-12
"68-2",0.0351,0.0721,0.063,0.1358,0.2645,0.2961,0.3321,0.3394,0.1548,0.0738,2022-02-12
"68-1",0.0366,0.066,0.0579,0.13,0.2578,0.2889,0.3052,0.326,0.1447,0.0701,2022-02-12
"726-1",0.0391,0.0681,0.0659,0.131,0.2357,0.2661,0.2962,0.3081,0.1941,0.0986,2022-02-12
"726-2",0.026,0.0533,0.0388,0.0988,0.2071,0.23,0.267,0.2732,0.1206,0.056,2022-02-12
"734-1",0.0392,0.0701,0.0739,0.1361,0.2341,0.26,0.2788,0.2996,0.1782,0.0943,2022-02-12
"557-1",0.0487,0.0829,0.0837,0.1643,0.2944,0.3276,0.3377,0.3632,0.23,0.1236,2022-02-12
"557-2",0.0384,0.0746,0.0535,0.139,0.2999,0.3403,0.3974,0.3885,0.1987,0.0967,2022-02-12
"219-2",0.029,0.0542,0.0375,0.1088,0.2204,0.2554,0.2529,0.2853,0.1344,0.0689,2022-02-12
"219-1",0.0305,0.0606,0.0522,0.1223,0.2256,0.2535,0.2738,0.289,0.165,0.0822,2022-02-12
"48-2",0.0392,0.0762,0.0689,0.1506,0.2818,0.3132,0.3392,0.3607,0.1558,0.0764,2022-02-12
"48-1",0.034,0.0669,0.0574,0.1338,0.241,0.27,0.2904,0.3083,0.1559,0.0786,2022-02-12
"130",0.0676,0.1018,0.1282,0.1968,0.2756,0.3049,0.3308,0.356,0.3137,0.1813,2022-02-12
"88-2",0.0525,0.0889,0.0988,0.1622,0.2526,0.2847,0.3281,0.3264,0.1616,0.0794,2022-02-12
"88-1",0.0382,0.0687,0.0842,0.1534,0.2419,0.2725,0.2882,0.3204,0.1754,0.0905,2022-02-12
"303-2",0.0304,0.0541,0.0399,0.118,0.2482,0.2773,0.2849,0.315,0.1531,0.0735,2022-02-12
"303-1",0.0306,0.0542,0.0363,0.1067,0.2037,0.2298,0.2755,0.2557,0.1667,0.0918,2022-02-12
"302",0.0247,0.0374,0.0321,0.0749,0.1251,0.1459,0.1211,0.1652,0.1024,0.0671,2022-02-12
"23-1",0.05,0.0831,0.0995,0.1595,0.2366,0.2563,0.2738,0.3038,0.1988,0.1003,2022-02-12
"23-2",0.0412,0.0733,0.0808,0.1472,0.2341,0.2666,0.2862,0.3061,0.1626,0.0789,2022-02-12
"23-3",0.0373,0.0718,0.0714,0.1481,0.2517,0.2848,0.3064,0.3344,0.176,0.0856,2022-02-12
"362",0.0497,0.0813,0.0936,0.1546,0.231,0.2542,0.2683,0.2955,0.1977,0.1034,2022-02-12
"17",0.0544,0.0866,0.1098,0.1586,0.2191,0.2487,0.2744,0.2878,0.2176,0.1258,2022-02-12
"456-2",0.0438,0.0716,0.0702,0.1421,0.2547,0.2859,0.3055,0.3347,0.1788,0.0872,2022-02-12
"456-1",0.0426,0.0754,0.0787,0.1468,0.2576,0.2879,0.3097,0.3374,0.194,0.1004,2022-02-12
"359-1",0.0367,0.061,0.0575,0.1271,0.2175,0.247,0.2698,0.2933,0.1386,0.066,2022-02-12
"359-2",0.0335,0.0641,0.0643,0.1094,0.1985,0.2196,0.2784,0.262,0.1125,0.0566,2022-02-12
"359-3",0.0423,0.0712,0.0746,0.1421,0.2392,0.2706,0.287,0.3184,0.1515,0.0737,2022-02-12
"705-2",0.0359,0.0671,0.0585,0.1343,0.2827,0.3216,0.3418,0.3718,0.1561,0.072,2022-02-12
"705-3",0.0442,0.0697,0.0705,0.1434,0.2548,0.2909,0.3081,0.3308,0.1984,0.1054,2022-02-12
"705-1",0.0329,0.0674,0.0511,0.1344,0.3052,0.3493,0.3706,0.395,0.172,0.0799,2022-02-12
"Rb_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"Fe_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"Fe_4_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"Fe_1_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"Fe_2_alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"RB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"RB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"RB1_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"RB2_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE1_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE2_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE3_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"FE4_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-12
"Deuter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Gubitzmoos_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Gubitzmoos_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Nördlicher_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Nördlicher_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Nördlicher_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Nördlicher_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Nördlicher_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Nördlicher_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Obernschreez_68_Nord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Obernschreez_68_Süd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Obernschreez_726_Ost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Obernschreez_726_West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Obernschreez_734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Schobertsberg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Schobertsberg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Schobertsberg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Schobertsberg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Schobertsberg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Bauhof_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Bauhof_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Bauhof_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Bauhof_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"Südlich_Deuterweg_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"68-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"68-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"726-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"726-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"734-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"557-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"557-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"219-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"219-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"48-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"48-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"88-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"88-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"303-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"303-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"23-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"23-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
"23-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-13
